state,overall-ratings
USA:MS,4.7272727272727275
USA:AR,4.388888888888889
USA:HI,4.214285714285714
USA:NH,4.1891891891891895
USA:IA,4.181818181818182
USA:AL,4.172413793103448
USA:NY,4.0586466165413535
USA:OK,4.0
USA:DC,3.993197278911565
USA:LA,3.9722222222222223
USA:CA,3.953254274682846
USA:ND,3.9125
USA:MO,3.9036144578313254
USA:NM,3.8947368421052633
USA:ME,3.875
USA:MA,3.869358669833729
USA:GA,3.842239185750636
USA:MI,3.8282208588957056
USA:NC,3.7963636363636364
USA:CO,3.769607843137255
USA:WV,3.7547169811320753
USA:FL,3.7503234152652003
USA:NE,3.75
USA:IL,3.7180385288966726
USA:TX,3.710093896713615
USA:MN,3.687022900763359
USA:NV,3.65
USA:WA,3.643910478834143
USA:AZ,3.621315192743764
USA:VA,3.6072144288577155
USA:OH,3.562992125984252
USA:WI,3.5602409638554215
USA:UT,3.5572519083969465
USA:CT,3.5408163265306123
USA:NJ,3.4255725190839694
USA:PA,3.4217821782178217
USA:DE,3.387323943661972
USA:MD,3.3813229571984436
USA:IN,3.362776025236593
USA:KS,3.325
USA:TN,3.2776349614395888
USA:KY,3.2756097560975608
USA:SC,3.2489270386266096
USA:OR,3.1449814126394053
